Port,#,Name,Value,Units,Default,Min,Max
0,1,Output Freq,0.0,Hz,0.0,-500.0,500.0
0,2,Commanded Freq,10.0,Hz,0.0,-500.0,500.0
0,3,Output Current,0.00,Amps,0.00,0.00,32767.00
0,4,Torque Current,0.00,Amps,0.00,-32767.00,32767.00
0,5,Flux Current,0.00,Amps,0.00,-32767.00,32767.00
0,6,Output Voltage,0.0,VAC,0.0,0.0,690.0
0,7,Output Power,0.00,kW,0.00,0.00,2400.00
0,8,Output Powr Fctr,0.00,,0.00,0.00,1.00
0,9,Elapsed MWh,0.9,MWh,0.0,0.0,429496729.5
0,10,Elapsed Run Time,16657.2,Hrs,0.0,0.0,429496729.5
0,11,MOP Frequency,0.0,Hz,0.0,-500.0,500.0
0,12,DC Bus Voltage,658.9,VDC,0.0,0.0,1500.0
0,13,DC Bus Memory,658.7,VDC,0.0,0.0,1500.0
0,14,Elapsed kWh,936.2,kWh,0.0,0.0,429496729.5
0,15,Torque Estimate,0.0,%,0.0,-800.0,800.0
0,16,Analog In1 Value,0.000,Volt,0.000,-10.000,20.000
0,17,Analog In2 Value,-0.001,Volt,0.000,-10.000,20.000
0,22,Ramped Speed,0.0,Hz,0.0,-500.0,500.0
0,23,Speed Reference,0.0,Hz,0.0,-500.0,500.0
0,24,Commanded Torque,0.0,%,0.0,-800.0,800.0
0,25,Speed Feedback,0.0,Hz,0.0,-500.0,500.0
0,26,Rated kW,0.75,kW,0.75,0.00,300.00
0,27,Rated Volts,480.0,VAC,480.0,0.0,6553.5
0,28,Rated Amps,2.1,Amps,2.1,0.0,6553.5
0,29,Control SW Ver,3.003,,3.001,0.000,65.535
0,40,Motor Type,Induction,,Induction,0,2
0,41,Motor NP Volts,460.0,VAC,460.0,0.0,480.0
0,42,Motor NP FLA,1.4,Amps,1.5,0.0,4.2
0,43,Motor NP Hertz,60.0,Hz,60.0,5.0,500.0
0,44,Motor NP RPM,1740,RPM,1740,60,30000
0,45,Motor NP Power,1.00,,1.00,0.00,412.48
0,46,Mtr NP Pwr Units,Horsepower,,Horsepower,0,1
0,47,Motor OL Hertz,20.0,Hz,20.0,0.0,500.0
0,48,Motor OL Factor,1.00,,1.00,0.20,2.00
0,49,Motor Poles,4,,4,2,40
0,50,Motor OL Mode,00000000 00000000,,00000000 00000000,,
0,53,Motor Cntl Sel,Sensrls Vect,,Sensrls Vect,0,4
0,54,Maximum Voltage,460.0,VAC,460.0,60.0,690.0
0,55,Maximum Freq,130.0,Hz,130.0,5.0,500.0
0,56,Compensation,00000000 00011011,,00000000 00011011,,
0,57,Flux Up Mode,Manual,,Manual,0,1
0,58,Flux Up Time,0.00,Secs,0.00,0.00,5.00
